time_s,n_samples,mean_active_qty,q05_active_qty,q95_active_qty
0.0,100,1.0,1.0,1.0
0.002,100,1.0,1.0,1.0
0.004,100,1.0,1.0,1.0
0.006,100,1.0,1.0,1.0
0.008,100,1.0,1.0,1.0
0.01,100,2.0,2.0,2.0
0.012,100,2.0,2.0,2.0
0.014,100,2.0,2.0,2.0
0.016,100,2.0,2.0,2.0
0.018000000000000002,100,2.0,2.0,2.0
0.02,100,3.0,3.0,3.0
0.022,100,3.0,3.0,3.0
0.024,100,3.0,3.0,3.0
0.026000000000000002,100,3.0,3.0,3.0
0.028,100,3.0,3.0,3.0
0.03,100,4.0,4.0,4.0
0.032,100,4.0,4.0,4.0
0.034,100,4.0,4.0,4.0
0.036000000000000004,100,4.0,4.0,4.0
0.038,100,4.0,4.0,4.0
0.04,100,5.0,5.0,5.0
0.042,100,5.0,5.0,5.0
0.044,100,5.0,5.0,5.0
0.046,100,5.0,5.0,5.0
0.048,100,5.0,5.0,5.0
0.05,100,6.0,6.0,6.0
0.052000000000000005,100,6.0,6.0,6.0
0.054,100,6.0,6.0,6.0
0.056,100,6.0,6.0,6.0
0.058,100,6.0,6.0,6.0
0.06,100,7.0,7.0,7.0
0.062,100,7.0,7.0,7.0
0.064,100,7.0,7.0,7.0
0.066,100,7.0,7.0,7.0
0.068,100,7.0,7.0,7.0
0.07,100,8.0,8.0,8.0
0.07200000000000001,100,8.0,8.0,8.0
0.074,100,8.0,8.0,8.0
0.076,100,8.0,8.0,8.0
0.078,100,8.0,8.0,8.0
0.08,100,9.0,9.0,9.0
0.082,100,9.0,9.0,9.0
0.084,100,9.0,9.0,9.0
0.08600000000000001,100,9.0,9.0,9.0
0.088,100,9.0,9.0,9.0
0.09,100,10.0,10.0,10.0
0.092,100,10.0,10.0,10.0
0.094,100,10.0,10.0,10.0
0.096,100,10.0,10.0,10.0
0.098,100,10.0,10.0,10.0
0.1,100,10.0,10.0,10.0
0.10200000000000001,100,10.0,10.0,10.0
0.10400000000000001,100,9.99,10.0,10.0
0.106,100,9.98,10.0,10.0
0.108,100,9.97,10.0,10.0
0.11,100,9.94,9.0,10.0
0.112,100,9.94,9.0,10.0
0.114,100,9.92,9.0,10.0
0.116,100,9.89,9.0,10.0
0.11800000000000001,100,9.89,9.0,10.0
0.12,100,9.84,8.95,10.0
0.122,100,9.82,8.0,10.0
0.124,100,9.81,8.0,10.0
0.126,100,9.78,8.0,10.0
0.128,100,9.74,8.0,10.0
0.13,100,9.7,8.0,10.0
0.132,100,9.68,8.0,10.0
0.134,100,9.66,8.0,10.0
0.136,100,9.66,8.0,10.0
0.138,100,9.66,8.0,10.0
0.14,100,9.66,8.0,10.0
0.14200000000000002,100,9.64,8.0,10.0
0.14400000000000002,100,9.62,8.0,10.0
0.146,100,9.59,7.95,10.0
0.148,100,9.58,7.95,10.0
0.15,100,9.56,7.95,10.0
0.152,100,9.55,7.95,10.0
0.154,100,9.54,7.95,10.0
0.156,100,9.54,7.95,10.0
0.158,100,9.52,7.0,10.0
0.16,100,9.51,7.0,10.0
0.162,100,9.51,7.0,10.0
0.164,100,9.51,7.0,10.0
0.166,100,9.48,7.0,10.0
0.168,100,9.48,7.0,10.0
0.17,100,9.47,7.0,10.0
0.17200000000000001,100,9.47,7.0,10.0
0.17400000000000002,100,9.47,7.0,10.0
0.176,100,9.47,7.0,10.0
0.178,100,9.45,7.0,10.0
0.18,100,9.45,7.0,10.0
0.182,100,9.44,7.0,10.0
0.184,100,9.43,7.0,10.0
0.186,100,9.41,7.0,10.0
0.188,100,9.4,7.0,10.0
0.19,100,9.39,7.0,10.0
0.192,100,9.38,7.0,10.0
0.194,100,9.35,7.0,10.0
0.196,100,9.33,7.0,10.0
0.198,100,9.33,7.0,10.0
0.2,100,9.32,7.0,10.0
0.202,100,9.32,7.0,10.0
0.20400000000000001,100,9.3,7.0,10.0
0.20600000000000002,100,9.28,7.0,10.0
0.20800000000000002,100,9.26,7.0,10.0
0.21,100,9.26,7.0,10.0
0.212,100,9.25,7.0,10.0
0.214,100,9.21,7.0,10.0
0.216,100,9.2,7.0,10.0
0.218,100,9.2,7.0,10.0
0.22,100,9.2,7.0,10.0
0.222,100,9.19,7.0,10.0
0.224,100,9.19,7.0,10.0
0.226,100,9.17,7.0,10.0
0.228,100,9.16,7.0,10.0
0.23,100,9.16,7.0,10.0
0.232,100,9.15,7.0,10.0
0.234,100,9.15,7.0,10.0
0.23600000000000002,100,9.14,7.0,10.0
0.23800000000000002,100,9.13,7.0,10.0
0.24,100,9.13,7.0,10.0
0.242,100,9.12,7.0,10.0
0.244,100,9.11,7.0,10.0
0.246,100,9.09,7.0,10.0
0.248,100,9.08,7.0,10.0
0.25,100,9.05,7.0,10.0
0.252,100,9.03,7.0,10.0
0.254,100,9.03,7.0,10.0
0.256,100,9.03,7.0,10.0
0.258,100,9.02,7.0,10.0
0.26,100,8.99,7.0,10.0
0.262,100,8.98,7.0,10.0
0.264,100,8.98,7.0,10.0
0.266,100,8.98,7.0,10.0
0.268,100,8.98,7.0,10.0
0.27,100,8.98,7.0,10.0
0.272,100,8.98,7.0,10.0
0.274,100,8.98,7.0,10.0
0.276,100,8.98,7.0,10.0
0.278,100,8.98,7.0,10.0
0.28,100,8.98,7.0,10.0
0.28200000000000003,100,8.98,7.0,10.0
0.28400000000000003,100,8.98,7.0,10.0
0.28600000000000003,100,8.98,7.0,10.0
0.28800000000000003,100,8.97,7.0,10.0
0.29,100,8.97,7.0,10.0
0.292,100,8.96,7.0,10.0
0.294,100,8.96,7.0,10.0
0.296,100,8.96,7.0,10.0
0.298,100,8.96,7.0,10.0
0.3,100,8.96,7.0,10.0
0.302,100,8.96,7.0,10.0
0.304,100,8.93,7.0,10.0
0.306,100,8.92,7.0,10.0
0.308,100,8.92,7.0,10.0
0.31,100,8.92,7.0,10.0
0.312,100,8.92,7.0,10.0
0.314,100,8.92,7.0,10.0
0.316,100,8.92,7.0,10.0
0.318,100,8.92,7.0,10.0
0.32,100,8.92,7.0,10.0
0.322,100,8.91,7.0,10.0
0.324,100,8.91,7.0,10.0
0.326,100,8.91,7.0,10.0
0.328,100,8.9,7.0,10.0
0.33,100,8.9,7.0,10.0
0.332,100,8.9,7.0,10.0
0.334,100,8.9,7.0,10.0
0.336,100,8.9,7.0,10.0
0.338,100,8.9,7.0,10.0
0.34,100,8.9,7.0,10.0
0.342,100,8.9,7.0,10.0
0.34400000000000003,100,8.9,7.0,10.0
0.34600000000000003,100,8.9,7.0,10.0
0.34800000000000003,100,8.9,7.0,10.0
0.35000000000000003,100,8.9,7.0,10.0
0.352,100,8.89,7.0,10.0
0.354,100,8.89,7.0,10.0
0.356,100,8.88,7.0,10.0
0.358,100,8.88,7.0,10.0
