episode_id,window_start,first_source_row_pos,status,n_market_events,n_warmup_market_events,n_policy_paths,mean_final_cost,median_final_cost,mean_final_price_impact,mean_filled_orders,mean_canceled_orders,mean_clipped_market_samples
0,2025-05-29 10:30:00.006003-04:00,17,ok,81,0,10,0.03809303386136913,0.03522130385536189,0.008443377,4.3,25.7,0.0
1,2025-05-29 10:31:00.019683-04:00,40693,ok,29,0,10,0.0036988469753296708,0.0025307065915030733,0.0020590260000000003,5.0,25.0,0.0
2,2025-05-29 10:32:00.032150-04:00,78486,ok,53,0,10,0.008446626393856408,0.007116559729723117,0.004404123,3.9,26.1,0.0
3,2025-05-29 10:33:00.066354-04:00,120519,ok,35,0,10,0.006331315143519043,0.005353529631726566,0.001909995,3.7,26.3,0.0
4,2025-05-29 10:34:00.013360-04:00,161357,ok,69,0,10,0.021825279148582743,0.024947387886871907,0.005795079,4.6,25.4,0.0
5,2025-05-29 10:35:00.009384-04:00,207159,ok,35,0,10,0.0071964338964098165,0.006242083363822562,0.0023947739999999997,3.7,26.3,0.0
6,2025-05-29 10:36:00.033398-04:00,250861,ok,25,0,10,0.004928221936357278,0.002932534766090647,0.0016324890000000002,3.9,26.1,0.0
7,2025-05-29 10:37:00.039419-04:00,288799,ok,31,0,10,0.0033283806229349212,0.002941384598171908,0.0021446760000000003,3.0,27.0,0.0
8,2025-05-29 10:38:00.038046-04:00,322753,ok,21,0,10,0.0006572452479329466,0.0,0.00013704,4.6,25.4,0.0
9,2025-05-29 10:39:00.069477-04:00,361907,ok,30,0,10,0.0031125364441336968,0.0024733080405833947,0.001862031,3.6,26.4,0.0
