time_s,n_samples,mean_cost,std_cost,q05_cost,q25_cost,median_cost,q75_cost,q95_cost
0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018000000000000002,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026000000000000002,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.036000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.042,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.046,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.048,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.052000000000000005,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.054,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.056,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.058,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.062,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.064,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.068,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07200000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.074,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
