episode_id,policy_path_id,window_start,n_posted_orders,n_filled_orders,n_canceled_orders,n_generated_filled_orders,n_generated_canceled_orders,n_open_orders_at_horizon,n_clipped_market_samples,max_active_qty,final_cost,final_price_impact
0,0,2025-05-29 10:30:00.006003-04:00,30,1,29,1,29,0,0,10.0,0.010185533543299995,0.00851361
0,1,2025-05-29 10:30:00.006003-04:00,30,3,27,3,27,0,0,10.0,0.027428178029717504,0.00851361
0,2,2025-05-29 10:30:00.006003-04:00,30,5,25,5,25,0,0,10.0,0.03752229735161475,0.00813675
0,3,2025-05-29 10:30:00.006003-04:00,30,5,25,5,25,0,0,10.0,0.04753447726043564,0.00844509
0,4,2025-05-29 10:30:00.006003-04:00,30,8,22,8,22,0,0,10.0,0.07293944453181093,0.00830805
0,5,2025-05-29 10:30:00.006003-04:00,30,4,26,4,26,0,0,10.0,0.03292031035910903,0.00841083
0,6,2025-05-29 10:30:00.006003-04:00,30,4,26,4,26,0,0,10.0,0.042438285485967966,0.00902751
0,7,2025-05-29 10:30:00.006003-04:00,30,2,28,2,28,0,0,10.0,0.02078141764125567,0.00870204
0,8,2025-05-29 10:30:00.006003-04:00,30,2,28,2,28,0,0,10.0,0.02037106708659999,0.0087363
0,9,2025-05-29 10:30:00.006003-04:00,30,9,21,9,21,0,0,10.0,0.06880932732387984,0.00763998
1,0,2025-05-29 10:31:00.019683-04:00,30,5,25,5,25,0,0,10.0,0.00940675226729053,0.00198708
1,1,2025-05-29 10:31:00.019683-04:00,30,6,24,6,24,0,0,10.0,0.002494182649078897,0.00212412
1,2,2025-05-29 10:31:00.019683-04:00,30,8,22,8,22,0,0,10.0,0.00752123844526534,0.00202134
1,3,2025-05-29 10:31:00.019683-04:00,30,7,23,7,23,0,0,10.0,0.002768262649078897,0.0019185600000000001
1,4,2025-05-29 10:31:00.019683-04:00,30,1,29,1,29,0,0,10.0,0.00027408,0.00212412
1,5,2025-05-29 10:31:00.019683-04:00,30,4,26,4,26,0,0,10.0,0.0017760821192631176,0.00232968
1,6,2025-05-29 10:31:00.019683-04:00,30,5,25,5,25,0,0,10.0,0.0025672305339272494,0.00178152
1,7,2025-05-29 10:31:00.019683-04:00,30,6,24,6,24,0,0,10.0,0.002494182649078897,0.00212412
1,8,2025-05-29 10:31:00.019683-04:00,30,3,27,3,27,0,0,10.0,0.0011621210596315587,0.00212412
1,9,2025-05-29 10:31:00.019683-04:00,30,5,25,5,25,0,0,10.0,0.006524337380682216,0.0020556
2,0,2025-05-29 10:32:00.032150-04:00,30,2,28,2,28,0,0,10.0,0.00585495834887186,0.00469362
2,1,2025-05-29 10:32:00.032150-04:00,30,5,25,5,25,0,0,10.0,0.008378161110574375,0.00423111
2,2,2025-05-29 10:32:00.032150-04:00,30,6,24,6,24,0,0,10.0,0.012423437069063348,0.00356304
2,3,2025-05-29 10:32:00.032150-04:00,30,2,28,2,28,0,0,10.0,4.094750348351272e-05,0.00464223
2,4,2025-05-29 10:32:00.032150-04:00,30,4,26,4,26,0,0,10.0,0.0013466140868645345,0.00452232
2,5,2025-05-29 10:32:00.032150-04:00,30,2,28,2,28,0,0,10.0,0.002232674030365839,0.00474501
2,6,2025-05-29 10:32:00.032150-04:00,30,5,25,5,25,0,0,10.0,0.014120011683850645,0.00395703
2,7,2025-05-29 10:32:00.032150-04:00,30,5,25,5,25,0,0,10.0,0.018375016930315128,0.00464223
2,8,2025-05-29 10:32:00.032150-04:00,30,7,23,7,23,0,0,10.0,0.021427522441874923,0.0042825
2,9,2025-05-29 10:32:00.032150-04:00,30,1,29,1,29,0,0,10.0,0.00026692073329992146,0.00476214
3,0,2025-05-29 10:33:00.066354-04:00,30,3,27,3,27,0,0,10.0,0.004854479265320816,0.0018843
3,1,2025-05-29 10:33:00.066354-04:00,30,4,26,4,26,0,0,10.0,0.004435993703536589,0.0018157800000000001
3,2,2025-05-29 10:33:00.066354-04:00,30,1,29,1,29,0,0,10.0,0.0024873883190905,0.00198708
3,3,2025-05-29 10:33:00.066354-04:00,30,5,25,5,25,0,0,10.0,0.009024085340912535,0.00178152
3,4,2025-05-29 10:33:00.066354-04:00,30,2,28,2,28,0,0,10.0,0.004974776638181,0.00198708
3,5,2025-05-29 10:33:00.066354-04:00,30,5,25,5,25,0,0,10.0,0.009541767105833966,0.0020556
3,6,2025-05-29 10:33:00.066354-04:00,30,4,26,4,26,0,0,10.0,0.004603708520496765,0.00183291
3,7,2025-05-29 10:33:00.066354-04:00,30,6,24,6,24,0,0,10.0,0.009406818537774803,0.00173013
3,8,2025-05-29 10:33:00.066354-04:00,30,3,27,3,27,0,0,10.0,0.005732282625272131,0.0018843
3,9,2025-05-29 10:33:00.066354-04:00,30,4,26,4,26,0,0,10.0,0.008251851378771317,0.00214125
4,0,2025-05-29 10:34:00.013360-04:00,30,3,27,3,27,0,0,10.0,0.018071467269321604,0.0061668
4,1,2025-05-29 10:34:00.013360-04:00,30,5,25,5,25,0,0,10.0,0.02012279991901391,0.00558438
4,2,2025-05-29 10:34:00.013360-04:00,30,5,25,5,25,0,0,10.0,0.024873455592537532,0.00589272
4,3,2025-05-29 10:34:00.013360-04:00,30,4,26,4,26,0,0,10.0,0.007984573587192465,0.00532743
4,4,2025-05-29 10:34:00.013360-04:00,30,5,25,5,25,0,0,10.0,0.025021320181206282,0.00580707
4,5,2025-05-29 10:34:00.013360-04:00,30,4,26,4,26,0,0,10.0,0.026805096553038633,0.0060811500000000004
4,6,2025-05-29 10:34:00.013360-04:00,30,6,24,6,24,0,0,10.0,0.02545327354243465,0.00561864
4,7,2025-05-29 10:34:00.013360-04:00,30,2,28,2,28,0,0,10.0,0.006247700501336698,0.00592698
4,8,2025-05-29 10:34:00.013360-04:00,30,6,24,6,24,0,0,10.0,0.03783204299875798,0.0060811500000000004
4,9,2025-05-29 10:34:00.013360-04:00,30,6,24,6,24,0,0,10.0,0.025841061340987667,0.00546447
5,0,2025-05-29 10:35:00.009384-04:00,30,4,26,4,26,0,0,10.0,0.0057157674691491415,0.00231255
5,1,2025-05-29 10:35:00.009384-04:00,30,4,26,4,26,0,0,10.0,0.007242565207606393,0.00227829
5,2,2025-05-29 10:35:00.009384-04:00,30,3,27,3,27,0,0,10.0,0.005146528067032433,0.00229542
5,3,2025-05-29 10:35:00.009384-04:00,30,5,25,5,25,0,0,10.0,0.0133936505763885,0.00251811
5,4,2025-05-29 10:35:00.009384-04:00,30,2,28,2,28,0,0,10.0,0.003490506414238417,0.00234681
5,5,2025-05-29 10:35:00.009384-04:00,30,4,26,4,26,0,0,10.0,0.004955974673331736,0.00229542
5,6,2025-05-29 10:35:00.009384-04:00,30,3,27,3,27,0,0,10.0,0.004965424586836751,0.00227829
5,7,2025-05-29 10:35:00.009384-04:00,30,3,27,3,27,0,0,10.0,0.006768399258495983,0.00304914
5,8,2025-05-29 10:35:00.009384-04:00,30,5,25,5,25,0,0,10.0,0.009872201574142161,0.00219264
5,9,2025-05-29 10:35:00.009384-04:00,30,4,26,4,26,0,0,10.0,0.010413321136876657,0.00238107
6,0,2025-05-29 10:36:00.033398-04:00,30,6,24,6,24,0,0,10.0,0.002614671400542533,0.00176439
6,1,2025-05-29 10:36:00.033398-04:00,30,4,26,4,26,0,0,10.0,0.006789507371262209,0.00147318
6,2,2025-05-29 10:36:00.033398-04:00,30,4,26,4,26,0,0,10.0,0.006205179088585302,0.0017130000000000001
6,3,2025-05-29 10:36:00.033398-04:00,30,1,29,1,29,0,0,10.0,0.002460138913484779,0.00185004
6,4,2025-05-29 10:36:00.033398-04:00,30,2,28,2,28,0,0,10.0,0.0015617425901134105,0.00140466
6,5,2025-05-29 10:36:00.033398-04:00,30,10,20,10,20,0,0,10.0,0.015201868189140174,0.00128475
6,6,2025-05-29 10:36:00.033398-04:00,30,3,27,3,27,0,0,10.0,0.002448495249937912,0.00138753
6,7,2025-05-29 10:36:00.033398-04:00,30,5,25,5,25,0,0,10.0,0.00863666984152159,0.00185004
6,8,2025-05-29 10:36:00.033398-04:00,30,3,27,3,27,0,0,10.0,0.0032503981316387614,0.00176439
6,9,2025-05-29 10:36:00.033398-04:00,30,1,29,1,29,0,0,10.0,0.00011354858734611058,0.00183291
7,0,2025-05-29 10:37:00.039419-04:00,30,3,27,3,27,0,0,10.0,0.0012651385254707679,0.00183291
7,1,2025-05-29 10:37:00.039419-04:00,30,1,29,1,29,0,0,10.0,0.00042171284182358933,0.0019356900000000001
7,2,2025-05-29 10:37:00.039419-04:00,30,3,27,3,27,0,0,10.0,0.003474312408711624,0.0018843
7,3,2025-05-29 10:37:00.039419-04:00,30,4,26,4,26,0,0,10.0,0.002949020345535527,0.0018843
7,4,2025-05-29 10:37:00.039419-04:00,30,3,27,3,27,0,0,10.0,0.004826062916306647,0.00190143
7,5,2025-05-29 10:37:00.039419-04:00,30,3,27,3,27,0,0,10.0,0.0007811053082939987,0.00190143
7,6,2025-05-29 10:37:00.039419-04:00,30,5,25,5,25,0,0,10.0,0.006225594082828915,0.00186717
7,7,2025-05-29 10:37:00.039419-04:00,30,0,30,0,30,0,0,10.0,0.0,0.00198708
7,8,2025-05-29 10:37:00.039419-04:00,30,4,26,4,26,0,0,10.0,0.002933748850808289,0.00236394
7,9,2025-05-29 10:37:00.039419-04:00,30,4,26,4,26,0,0,10.0,0.010407110949569856,0.00388851
8,0,2025-05-29 10:38:00.038046-04:00,30,4,26,4,26,0,0,10.0,0.0,0.0
8,1,2025-05-29 10:38:00.038046-04:00,30,4,26,4,26,0,0,10.0,0.0,0.0
8,2,2025-05-29 10:38:00.038046-04:00,30,3,27,3,27,0,0,10.0,0.0,0.0
8,3,2025-05-29 10:38:00.038046-04:00,30,5,25,5,25,0,0,10.0,0.0,0.0
8,4,2025-05-29 10:38:00.038046-04:00,30,4,26,4,26,0,0,10.0,0.0,0.0
8,5,2025-05-29 10:38:00.038046-04:00,30,8,22,8,22,0,0,10.0,0.0,0.0
8,6,2025-05-29 10:38:00.038046-04:00,30,2,28,2,28,0,0,10.0,0.0,0.0
8,7,2025-05-29 10:38:00.038046-04:00,30,5,25,5,25,0,0,10.0,0.0,0.0
8,8,2025-05-29 10:38:00.038046-04:00,30,7,23,7,23,0,0,10.0,0.0,0.0
8,9,2025-05-29 10:38:00.038046-04:00,30,4,26,4,26,0,0,10.0,0.006572452479329466,0.0013704
9,0,2025-05-29 10:39:00.069477-04:00,30,1,29,1,29,0,0,10.0,0.0014195651144500048,0.0019185600000000001
9,1,2025-05-29 10:39:00.069477-04:00,30,5,25,5,25,0,0,10.0,0.00242801022890001,0.00162735
9,2,2025-05-29 10:39:00.069477-04:00,30,4,26,4,26,0,0,10.0,0.0013190976216444772,0.00186717
9,3,2025-05-29 10:39:00.069477-04:00,30,6,24,6,24,0,0,10.0,0.0051301004578000195,0.00152457
9,4,2025-05-29 10:39:00.069477-04:00,30,3,27,3,27,0,0,10.0,0.00405355673051854,0.00198708
9,5,2025-05-29 10:39:00.069477-04:00,30,3,27,3,27,0,0,10.0,0.0024733080405833947,0.00169587
9,6,2025-05-29 10:39:00.069477-04:00,30,3,27,3,27,0,0,10.0,0.0024733080405833947,0.00200421
9,7,2025-05-29 10:39:00.069477-04:00,30,6,24,6,24,0,0,10.0,0.007477455950901516,0.00166161
9,8,2025-05-29 10:39:00.069477-04:00,30,2,28,2,28,0,0,10.0,0.0016488720270555965,0.0025695
9,9,2025-05-29 10:39:00.069477-04:00,30,3,27,3,27,0,0,10.0,0.00270209022890001,0.00176439
